Flowmeter,Manometer,Diagnostic
12.404399999999999,5.87995,Funcionamento Pleno
12.4917,5.87909,Funcionamento Pleno
12.5791,5.87824,Funcionamento Pleno
12.657,5.8775,Funcionamento Pleno
12.719,5.8769,Funcionamento Pleno
12.781,5.8763,Funcionamento Pleno
12.843,5.8757,Funcionamento Pleno
12.905,5.8751,Funcionamento Pleno
12.9573,5.874560000000001,Funcionamento Pleno
13.002799999999999,5.87411,Funcionamento Pleno
13.0454,5.87371,Funcionamento Pleno
13.088,5.8733,Funcionamento Pleno
13.1236,5.8729700000000005,Funcionamento Pleno
13.1591,5.87263,Funcionamento Pleno
13.194700000000001,5.8723,Funcionamento Pleno
13.225,5.871989999999999,Funcionamento Pleno
13.2512,5.87173,Funcionamento Pleno
13.2774,5.87147,Funcionamento Pleno
